slope_angle,rainfall,temperature,vibration,crack_width,soil_moisture,displacement,pore_pressure,risk
21,31,23,0.9,0.3,36,0.9,1.3,0
26,26,25,1.5,0.1,24,0.8,1.5,0
35,13,20,1.3,0.5,27,0.4,0.9,0
38,30,23,1.2,0.5,43,1.0,0.7,0
63,83,40,6.6,5.9,71,2.8,6.3,2
27,12,24,1.1,0.3,37,0.2,1.6,0
38,32,28,1.6,0.5,40,0.3,1.8,0
52,44,34,3.9,2.9,43,1.5,3.9,1
33,13,22,1.8,0.3,36,1.0,1.4,0
80,108,35,6.4,4.0,73,3.2,5.4,2
48,37,32,3.8,2.9,58,1.1,2.7,1
21,11,30,1.7,0.2,24,0.9,0.9,0
27,32,25,1.7,0.9,44,0.2,1.1,0
28,8,25,2.1,0.7,36,0.2,0.6,0
52,60,33,3.9,2.3,53,1.3,3.0,1
70,94,35,6.4,5.2,87,3.0,4.0,2
57,52,35,3.1,1.9,47,1.6,2.3,1
20,2,20,2.3,0.6,43,0.1,1.0,0
23,35,30,1.2,0.4,45,1.0,0.6,0
77,105,33,6.0,4.8,73,3.7,5.8,2
29,2,28,2.5,0.5,30,0.9,0.6,0
62,115,31,6.2,3.6,77,2.4,7.0,2
41,43,32,3.7,2.9,62,1.3,2.5,1
71,96,36,6.2,4.1,81,3.5,5.4,2
23,11,26,1.5,0.7,48,0.9,1.0,0
57,35,32,4.3,1.5,63,1.4,3.4,1
27,0,22,1.9,0.9,47,0.7,1.9,0
23,25,30,1.9,0.5,20,0.6,1.6,0
40,58,32,5.4,1.5,70,1.2,3.6,1
22,4,25,2.0,0.7,48,0.4,0.9,0
60,89,31,6.9,4.7,65,2.7,4.9,2
22,1,23,2.1,0.9,37,0.4,1.5,0
40,25,27,2.1,0.2,42,0.3,1.3,0
27,4,24,1.8,0.2,31,0.9,0.6,0
40,41,35,4.2,2.5,66,2.0,2.8,1
52,38,32,4.6,2.9,67,1.1,2.3,1
75,100,39,6.2,4.6,73,2.7,4.5,2
60,111,34,6.1,5.9,71,3.0,5.7,2
35,30,21,1.7,0.4,35,0.9,1.4,0
52,52,30,5.2,2.7,51,1.4,2.3,1
68,105,32,5.8,4.9,81,2.4,6.1,2
37,3,29,2.0,0.5,26,1.0,0.8,0
68,96,34,8.4,3.2,74,3.6,4.2,2
68,108,34,5.7,4.3,86,3.7,5.6,2
59,55,34,3.8,1.4,45,1.2,3.1,1
68,86,33,6.0,3.6,66,2.2,5.5,2
60,49,26,4.4,1.1,43,1.9,2.8,1
28,31,29,0.9,0.2,45,0.4,1.3,0
27,39,20,1.7,0.2,38,1.0,1.0,0
42,59,30,5.0,1.6,67,1.4,4.0,1
65,73,31,6.5,5.4,71,2.5,6.8,2
29,14,26,2.2,0.9,24,0.5,1.2,0
52,58,31,3.4,2.5,61,1.4,3.4,1
28,22,27,1.5,0.8,31,0.7,0.8,0
57,42,32,4.7,2.4,57,1.0,3.3,1
74,90,37,8.7,5.0,80,3.5,5.1,2
69,106,38,8.6,3.0,63,2.5,4.8,2
29,23,25,2.4,0.9,32,0.1,0.9,0
48,61,28,4.3,1.7,43,1.9,2.3,1
73,116,33,5.8,3.0,78,2.2,5.4,2
62,97,35,7.8,5.2,60,2.7,4.3,2
60,69,29,4.3,2.6,65,1.3,3.0,1
40,3,22,1.8,0.6,48,0.3,1.8,0
79,88,39,6.2,5.0,89,2.5,5.1,2
51,39,26,5.5,1.2,54,1.3,3.6,1
59,46,27,3.6,1.9,61,1.3,3.3,1
56,55,28,5.3,2.3,55,1.9,2.1,1
41,43,28,3.5,2.7,44,1.3,2.5,1
38,18,26,1.7,0.3,22,0.5,1.3,0
75,83,31,6.0,4.0,60,3.4,5.3,2
23,39,28,2.1,0.1,20,0.5,2.0,0
41,48,26,4.0,2.8,44,1.5,2.2,1
69,95,30,6.8,5.5,71,2.8,4.0,2
58,43,34,3.4,2.2,62,1.1,2.1,1
67,81,36,7.0,4.6,62,2.9,6.9,2
74,102,34,7.5,3.6,88,2.5,5.1,2
72,90,31,7.1,6.0,73,3.9,4.6,2
35,31,29,0.7,0.6,44,0.4,0.8,0
49,54,34,4.2,1.5,62,1.7,3.1,1
45,49,35,4.2,1.7,58,1.4,3.4,1
34,15,27,1.7,0.3,21,1.0,1.3,0
23,27,26,0.6,0.6,43,0.4,0.9,0
48,57,33,3.3,2.3,70,1.0,2.2,1
65,75,34,7.3,3.3,81,3.3,4.8,2
26,32,28,2.4,0.1,31,0.9,2.0,0
33,38,22,1.6,0.2,25,0.5,0.8,0
42,42,33,5.2,2.1,47,1.3,3.8,1
63,104,34,6.3,5.3,68,2.8,6.5,2
77,115,37,6.8,4.7,76,2.2,5.9,2
40,28,27,2.3,0.2,50,0.9,1.2,0
29,3,25,0.9,0.3,31,0.8,0.9,0
27,33,23,0.7,0.4,44,0.2,1.4,0
58,52,33,3.4,1.9,68,1.9,2.5,1
45,57,35,4.9,2.2,50,1.0,2.2,1
59,61,30,3.4,2.5,66,1.2,2.2,1
45,68,30,3.2,2.4,56,1.4,2.2,1
49,51,25,5.1,1.9,42,1.9,2.7,1
26,30,28,1.5,0.5,40,0.5,0.9,0
60,106,37,7.1,3.2,77,2.1,5.2,2
49,49,29,4.2,2.4,41,1.8,3.0,1
20,30,26,0.9,0.8,46,0.9,0.8,0
74,101,35,5.7,4.0,65,3.9,6.8,2
72,112,39,8.5,5.5,65,2.5,4.6,2
33,9,28,1.5,0.4,48,0.2,0.9,0
43,68,25,3.5,2.4,67,1.2,3.7,1
55,48,31,3.7,2.7,40,1.3,3.4,1
65,99,33,8.1,4.8,75,3.1,5.4,2
53,36,29,3.2,1.6,63,1.4,2.5,1
43,42,30,4.4,1.9,53,1.8,3.1,1
77,71,38,8.3,5.2,62,2.1,5.9,2
78,84,34,6.0,5.1,73,2.6,6.3,2
57,39,26,3.5,1.6,47,1.2,2.1,1
49,57,25,4.3,2.1,54,1.4,3.6,1
60,54,33,2.7,1.3,61,1.2,2.7,1
39,18,24,0.6,0.9,27,0.2,1.6,0
73,70,30,8.2,5.1,63,2.4,6.6,2
72,87,30,6.8,4.9,73,3.5,4.5,2
33,17,26,1.9,0.8,41,0.9,0.9,0
35,8,21,1.5,0.6,40,0.8,1.4,0
53,47,33,4.3,1.1,43,1.4,3.2,1
74,106,34,5.9,3.9,90,2.7,4.3,2
43,33,28,5.0,1.4,49,1.1,3.2,1
57,52,35,4.8,2.8,56,1.1,2.4,1
22,8,30,1.9,0.8,38,0.7,1.6,0
59,38,26,2.7,1.1,62,1.2,2.1,1
80,71,39,8.7,3.7,87,3.1,5.9,2
46,51,28,3.3,2.7,64,1.5,3.9,1
20,30,23,2.1,0.4,30,0.3,1.0,0
23,20,26,1.5,0.6,30,0.5,1.4,0
76,82,34,9.0,4.8,83,3.4,4.1,2
74,102,35,7.3,3.1,70,2.3,4.7,2
69,77,30,6.7,3.7,79,2.4,4.5,2
35,40,28,2.1,0.4,33,0.5,1.7,0
40,34,33,5.3,3.0,68,1.4,3.3,1
28,7,29,1.1,0.2,20,0.5,0.7,0
57,48,33,4.2,2.8,68,1.7,3.2,1
44,39,30,2.8,2.3,54,1.8,3.7,1
22,10,23,2.0,0.5,23,0.9,0.5,0
75,74,35,5.8,4.7,81,2.0,5.7,2
51,36,28,4.1,1.9,40,1.8,3.5,1
29,21,26,1.6,0.7,48,0.2,0.6,0
52,66,32,3.8,1.0,58,1.4,2.3,1
79,70,37,6.6,4.9,68,3.8,5.7,2
67,105,35,8.1,4.9,71,2.7,5.0,2
40,69,33,4.3,3.0,61,1.4,2.4,1
48,62,33,3.7,2.8,50,1.3,4.0,1
36,36,29,1.8,0.7,50,0.4,0.6,0
60,77,34,7.7,3.6,71,2.9,5.2,2
42,40,31,3.3,1.6,41,1.7,2.6,1
38,28,28,2.4,0.7,49,0.4,1.7,0
63,113,35,8.5,3.3,62,2.1,4.1,2
43,70,25,3.3,2.9,40,1.5,2.1,1
64,77,32,5.6,3.6,88,2.3,5.3,2
37,26,22,1.7,0.7,46,0.5,1.5,0
67,92,37,8.1,3.5,77,3.2,5.7,2
50,60,35,4.1,2.6,48,1.6,3.3,1
29,4,23,2.0,0.3,46,1.0,1.2,0
52,48,29,3.4,1.8,65,1.9,2.5,1
42,43,33,4.4,2.5,60,1.4,3.2,1
77,88,37,5.6,3.2,75,2.9,5.5,2
22,11,29,1.5,0.2,28,0.8,1.2,0
50,65,27,5.1,1.4,41,1.5,3.1,1
69,96,39,7.6,5.9,66,3.6,7.0,2
43,49,27,4.7,1.1,56,1.6,4.0,1
23,27,25,1.8,0.3,23,0.5,1.4,0
35,6,28,2.4,1.0,36,0.6,1.4,0
69,117,33,6.7,3.6,62,3.3,4.7,2
78,75,35,7.8,5.6,73,2.5,5.8,2
48,53,34,5.2,1.2,68,1.0,3.6,1
23,40,24,1.9,0.7,44,0.6,1.9,0
75,108,30,6.8,3.7,66,3.5,6.6,2
60,37,26,3.2,1.8,60,1.3,2.7,1
77,77,36,7.6,5.7,85,2.2,4.4,2
79,75,40,7.5,3.0,68,3.7,5.1,2
46,70,32,3.5,2.5,44,1.4,2.2,1
50,41,27,4.8,2.5,54,1.8,2.8,1
80,100,34,5.7,5.4,82,3.1,4.5,2
43,59,35,4.6,2.7,54,1.5,3.6,1
40,19,27,1.3,0.3,43,0.6,0.9,0
45,36,31,4.7,1.7,62,1.5,2.3,1
63,94,31,6.6,3.1,75,3.0,4.6,2
39,24,29,0.6,0.3,25,0.6,1.5,0
42,34,31,5.2,1.9,70,1.6,3.2,1
69,108,38,6.0,5.6,69,3.4,5.8,2
24,8,27,2.5,0.3,44,0.8,1.5,0
57,61,26,4.5,2.4,43,1.5,2.5,1
45,52,34,2.7,1.8,63,1.9,2.3,1
68,114,39,8.0,4.3,85,3.2,5.7,2
49,70,27,4.8,2.6,61,1.9,3.7,1
20,8,22,0.9,0.4,31,0.7,1.0,0
76,115,33,6.5,3.9,74,2.1,5.0,2
43,64,35,3.9,2.5,66,1.8,2.9,1
36,6,22,1.0,0.8,42,0.8,1.3,0
66,87,39,5.6,3.4,74,2.4,6.2,2
74,94,31,8.0,3.8,89,2.1,5.8,2
40,30,27,1.5,0.6,33,0.7,1.7,0
63,82,38,8.2,5.2,67,2.5,7.0,2
35,40,26,1.3,0.6,50,0.2,0.7,0
63,101,31,7.0,3.9,60,3.1,5.5,2
60,63,35,3.8,1.8,56,1.1,2.4,1
21,29,28,1.9,0.2,28,0.1,1.7,0
26,29,20,2.0,0.4,49,0.9,1.7,0
27,4,30,0.7,0.6,30,0.8,1.4,0
65,94,34,8.9,5.4,66,2.0,6.2,2
80,100,34,8.9,4.4,63,2.5,5.3,2
51,70,25,5.0,2.1,67,1.9,3.8,1
32,9,30,1.2,0.4,28,0.7,0.5,0
74,71,38,7.6,3.4,79,3.6,5.8,2
51,61,33,5.3,2.9,67,1.1,3.7,1
67,77,31,9.0,3.8,88,2.1,4.1,2
39,37,20,2.4,0.8,45,0.2,0.8,0
39,20,28,2.0,0.7,47,0.8,1.3,0
60,77,40,5.6,4.5,70,2.9,4.2,2
65,102,31,6.7,4.1,68,2.9,4.2,2
58,70,25,4.7,1.5,52,1.5,3.1,1
66,108,32,5.9,3.0,69,3.8,5.4,2
53,41,34,2.8,2.8,42,1.8,2.6,1
22,9,26,0.8,0.7,23,0.8,1.0,0
40,46,25,3.9,2.4,66,1.6,2.0,1
60,41,28,4.7,3.0,65,1.3,3.0,1
74,77,40,7.7,3.9,86,2.8,6.7,2
51,54,29,4.7,1.2,48,1.1,2.4,1
24,14,22,1.6,0.3,48,0.7,1.7,0
47,50,35,3.5,2.2,63,1.3,2.2,1
58,31,29,4.6,2.5,47,1.0,2.9,1
40,17,23,0.9,0.9,32,0.6,1.3,0
55,58,29,3.6,2.1,68,1.0,3.3,1
47,31,25,4.1,1.4,58,1.4,3.3,1
37,5,25,0.9,0.4,20,0.1,1.8,0
74,116,35,6.7,4.1,69,3.1,6.0,2
57,70,28,4.2,1.6,44,1.7,3.4,1
41,47,30,5.0,2.7,67,1.2,2.9,1
63,106,32,8.5,4.0,64,2.3,5.1,2
34,39,27,1.8,0.7,43,0.3,1.1,0
62,91,37,5.6,4.0,76,4.0,6.9,2
21,21,30,1.8,0.2,30,0.8,1.1,0
63,104,34,8.2,3.3,61,3.5,4.8,2
58,40,30,4.6,1.4,65,1.5,3.0,1
48,41,27,5.4,2.8,43,1.8,3.8,1
58,43,31,5.2,1.1,53,1.4,2.4,1
31,38,27,1.3,0.8,37,0.6,0.5,0
56,49,31,3.4,2.8,53,1.3,2.9,1
35,10,21,1.7,0.5,43,0.6,0.6,0
47,30,26,3.9,2.3,70,1.8,2.9,1
36,33,23,2.1,1.0,40,0.7,2.0,0
41,64,29,3.4,1.1,46,2.0,3.4,1
75,85,34,8.2,4.2,76,2.4,5.9,2
61,91,37,5.8,3.1,90,3.7,6.1,2
62,75,36,6.6,5.8,67,2.3,4.9,2
57,65,30,2.9,2.3,56,1.6,2.7,1
67,89,38,6.1,3.2,75,2.3,5.3,2
51,36,29,2.8,1.5,49,1.1,3.0,1
73,116,30,7.3,3.7,85,3.4,6.3,2
35,39,25,2.2,0.4,22,0.8,0.8,0
46,47,25,5.2,1.7,55,1.2,3.6,1
34,17,21,2.4,0.6,46,0.3,1.2,0
35,8,22,1.7,0.8,36,1.0,0.8,0
60,64,25,2.7,1.7,47,1.1,2.6,1
37,35,24,1.3,0.7,24,0.6,1.4,0
80,99,35,8.7,5.7,86,2.3,4.9,2
78,80,34,6.4,3.3,78,3.3,4.8,2
77,73,37,6.2,3.8,83,2.7,4.3,2
63,104,36,7.8,5.1,71,2.4,6.2,2
45,42,33,5.4,1.7,52,1.5,2.5,1
80,111,40,8.5,3.9,84,3.7,6.2,2
21,33,28,1.1,0.9,46,0.4,1.3,0
70,90,37,7.3,3.2,84,3.1,6.1,2
22,15,22,1.8,0.2,41,0.4,1.9,0
23,29,28,1.3,0.4,33,0.5,1.5,0
39,25,30,1.5,0.6,42,0.8,1.7,0
28,3,30,1.5,0.9,27,0.5,0.9,0
76,102,40,8.2,4.6,77,3.1,5.8,2
28,37,27,2.4,0.2,21,0.4,1.2,0
30,15,20,0.6,0.2,48,0.5,1.8,0
49,65,32,3.2,1.2,69,1.7,3.9,1
29,7,28,2.2,0.1,34,0.3,1.2,0
22,28,30,2.3,0.8,33,0.6,1.2,0
50,63,28,3.8,1.9,66,1.4,3.9,1
79,98,40,6.7,4.9,65,3.2,5.7,2
43,55,31,4.0,2.5,49,1.5,3.9,1
51,57,25,3.9,2.0,61,1.7,2.5,1
31,33,27,2.0,0.1,36,0.6,1.7,0
66,89,33,7.2,3.7,73,3.0,4.9,2
62,117,32,6.7,4.4,65,2.5,6.7,2
41,58,27,3.1,1.0,64,1.4,2.5,1
65,90,33,8.2,4.4,61,3.2,4.1,2
60,60,28,4.4,1.8,53,1.7,3.4,1
53,70,30,4.2,2.2,64,1.5,2.4,1
59,64,32,4.5,2.0,68,1.0,2.6,1
51,43,28,5.0,2.6,61,1.2,3.5,1
48,57,35,2.7,1.5,53,1.1,3.1,1
79,84,33,6.2,3.4,72,3.9,4.8,2
47,50,30,4.2,1.2,42,1.6,3.9,1
29,28,23,0.7,0.6,45,0.8,1.0,0
35,0,26,2.3,0.5,30,0.4,1.4,0
80,90,31,6.8,5.9,71,3.1,6.9,2
60,63,31,5.5,2.9,66,1.8,2.1,1
30,7,24,0.9,0.6,26,0.5,1.2,0
20,13,24,1.0,0.9,44,0.4,1.8,0
73,104,39,6.3,3.2,78,2.2,5.8,2
31,10,22,2.1,0.9,31,0.2,0.6,0
38,9,29,1.5,0.5,39,0.8,1.5,0
21,18,30,2.3,0.6,23,0.1,0.6,0
57,41,28,4.8,1.3,59,1.7,2.8,1
55,55,33,3.5,1.6,58,1.7,3.5,1
42,70,35,4.4,1.4,41,1.2,2.8,1
78,114,35,5.5,4.5,62,2.7,6.0,2
20,33,20,1.4,0.7,36,0.5,0.8,0
30,13,26,1.6,0.3,30,0.4,0.9,0
63,75,38,6.7,4.7,61,4.0,5.8,2
39,36,24,2.1,0.4,26,0.3,1.8,0
58,46,28,3.1,2.5,43,1.0,2.9,1
61,107,37,8.9,4.9,65,2.8,6.7,2
33,24,29,1.0,0.9,50,0.9,0.7,0
23,27,20,0.6,0.4,34,0.4,1.8,0
58,47,25,4.2,2.3,49,1.1,2.9,1
51,42,34,2.6,2.3,58,1.3,3.7,1
70,88,36,5.9,3.5,85,2.9,5.3,2
45,62,32,3.3,2.3,68,1.8,3.4,1
71,70,34,8.8,4.7,86,2.1,4.1,2
50,53,33,3.3,2.7,56,1.7,2.2,1
41,46,34,4.0,2.3,43,1.4,3.7,1
80,76,40,7.9,5.3,81,3.5,4.5,2
36,32,28,2.4,0.5,42,0.4,0.6,0
21,20,20,1.8,0.5,23,0.3,0.6,0
78,114,35,8.6,3.5,83,2.7,4.6,2
47,42,27,4.5,2.5,54,2.0,2.5,1
80,76,32,8.5,4.4,80,3.0,5.8,2
69,80,33,7.5,4.9,89,3.0,4.2,2
78,79,39,5.7,4.3,77,3.1,4.5,2
60,82,35,8.8,3.2,82,2.3,4.2,2
53,65,32,4.4,1.8,53,1.4,3.5,1
52,56,33,3.8,2.3,70,1.8,2.8,1
45,55,32,2.9,1.2,60,1.6,3.5,1
76,86,38,8.0,5.4,86,3.7,6.4,2
34,18,22,0.7,0.5,39,0.9,1.8,0
77,101,32,7.0,5.9,87,3.7,6.2,2
77,104,39,7.5,3.0,61,2.1,5.6,2
22,40,30,0.6,1.0,30,0.1,1.6,0
50,64,29,5.1,2.7,53,1.5,3.4,1
40,43,35,2.9,1.0,57,1.2,2.1,1
74,71,31,7.4,5.0,84,2.2,6.1,2
60,117,34,6.0,5.9,80,2.2,5.8,2
40,55,31,2.9,2.8,42,1.3,2.8,1
61,113,38,5.8,4.3,86,3.4,6.5,2
75,81,32,6.3,4.2,83,2.4,7.0,2
78,94,33,6.1,5.7,67,3.9,6.8,2
40,39,30,2.0,0.8,38,0.2,1.1,0
20,24,22,2.0,0.4,27,0.6,1.9,0
32,33,27,1.0,0.2,22,0.1,1.3,0
23,14,20,1.9,0.2,20,0.6,0.5,0
60,102,34,8.8,3.1,80,3.1,6.6,2
23,10,23,0.9,1.0,38,1.0,0.8,0
40,3,23,1.0,0.1,43,0.4,1.1,0
53,37,31,3.5,1.6,42,1.4,2.3,1
21,31,24,1.8,0.5,21,0.6,1.3,0
64,103,33,5.7,4.2,79,2.0,6.7,2
40,17,23,1.2,0.7,38,0.3,1.9,0
30,7,21,2.2,0.7,40,0.2,1.4,0
53,45,25,3.3,1.4,50,1.1,3.4,1
51,69,28,5.4,2.6,50,1.2,4.0,1
36,39,21,0.8,0.9,44,0.3,1.8,0
33,40,30,0.6,0.6,45,0.8,1.6,0
59,52,27,4.0,2.7,54,1.9,2.7,1
64,93,35,8.7,3.6,77,3.4,6.9,2
38,31,26,1.5,0.7,23,0.3,1.4,0
61,78,38,5.8,4.4,63,2.4,5.1,2
46,65,33,3.8,1.8,41,1.3,3.2,1
22,35,23,2.0,0.5,38,0.7,1.0,0
55,53,33,3.4,1.1,67,1.8,3.5,1
67,114,30,6.7,5.6,65,2.7,5.5,2
79,72,39,7.0,4.9,85,3.1,5.3,2
41,68,28,3.8,2.7,60,1.8,3.7,1
22,26,20,1.1,0.3,39,0.4,1.6,0
45,44,30,2.7,2.3,63,1.3,2.7,1
32,11,27,1.3,0.5,27,0.3,1.7,0
62,113,39,6.7,6.0,71,4.0,5.7,2
21,22,30,2.3,0.6,32,0.2,2.0,0
52,49,35,5.4,2.5,53,1.5,2.5,1
30,24,30,1.6,0.2,23,0.6,1.1,0
36,21,27,0.6,0.4,34,0.3,1.0,0
59,34,29,4.5,1.7,48,1.5,2.4,1
69,103,36,8.0,5.7,89,3.1,4.5,2
23,19,29,0.5,0.3,49,0.8,1.1,0
34,2,24,1.3,0.5,44,0.9,1.6,0
28,4,30,0.8,0.6,30,0.3,1.2,0
21,5,28,1.1,0.6,50,0.9,1.6,0
26,3,29,1.4,0.7,50,0.9,1.7,0
52,39,30,5.3,1.4,67,1.4,3.9,1
20,21,27,1.1,0.2,50,0.7,0.9,0
40,4,27,0.8,0.8,36,1.0,2.0,0
40,8,27,0.9,0.3,38,0.2,1.7,0
68,87,32,6.4,3.9,64,2.2,4.1,2
33,11,25,1.3,0.8,35,0.5,0.5,0
70,73,40,8.5,4.2,71,4.0,5.5,2
28,0,24,0.9,0.8,34,0.4,1.2,0
76,120,35,8.5,3.9,65,2.7,5.9,2
46,44,29,4.1,1.3,54,1.4,3.9,1
71,101,40,7.7,3.8,80,2.5,5.0,2
47,70,26,4.8,2.8,49,1.2,3.8,1
64,116,31,8.5,5.9,71,2.0,4.5,2
24,27,20,2.3,0.6,50,1.0,0.8,0
65,82,32,5.7,4.5,86,3.7,4.9,2
72,92,37,6.7,4.4,66,3.6,4.4,2
79,97,34,5.5,3.5,84,3.1,5.6,2
47,38,29,5.4,2.8,61,1.4,3.7,1
32,7,29,1.9,0.2,49,0.8,0.8,0
32,30,28,0.8,0.8,43,0.5,0.6,0
37,39,25,0.9,0.6,29,0.6,0.8,0
58,45,32,4.7,2.9,43,1.8,2.9,1
40,34,26,4.7,1.1,67,2.0,2.6,1
51,47,25,2.6,1.2,59,1.8,3.2,1
39,13,30,2.4,0.1,41,0.5,1.9,0
47,61,28,5.2,2.8,63,1.0,2.1,1
77,94,40,7.7,5.1,66,2.4,5.5,2
29,22,20,2.2,0.5,43,0.8,0.6,0
27,11,21,1.4,0.7,38,1.0,0.6,0
48,44,33,4.4,1.3,64,1.8,2.1,1
40,67,27,2.7,2.9,65,1.5,2.6,1
50,70,32,3.4,2.2,43,1.4,2.2,1
61,80,32,6.7,3.6,81,2.8,6.0,2
49,60,32,3.6,2.6,55,1.7,3.8,1
60,34,30,3.9,2.7,48,1.0,2.5,1
70,103,40,6.7,4.0,89,3.5,4.2,2
67,95,37,6.1,5.3,88,3.0,4.6,2
76,74,35,6.6,5.9,70,2.3,6.1,2
80,78,36,8.9,3.9,76,3.2,4.3,2
50,70,29,3.4,1.3,59,1.8,3.1,1
55,36,25,3.2,1.2,56,1.1,2.9,1
67,71,38,6.4,5.2,70,3.9,5.8,2
55,33,35,4.6,2.7,70,1.8,3.1,1
71,74,31,8.6,4.3,79,2.0,6.8,2
52,32,28,4.7,1.6,57,1.7,3.7,1
34,36,30,0.8,0.7,33,1.0,1.4,0
69,103,36,6.5,5.6,69,2.5,4.9,2
44,48,32,3.0,1.9,69,1.2,2.4,1
33,20,30,1.4,0.5,49,1.0,0.8,0
41,35,30,3.6,1.4,64,1.3,2.7,1
47,64,25,5.1,1.2,64,1.6,2.7,1
39,3,30,1.9,0.4,44,0.3,1.4,0
55,67,35,4.5,1.9,57,1.1,2.0,1
56,44,27,3.7,2.2,59,1.6,2.2,1
54,66,25,3.5,2.2,61,1.0,2.4,1
